attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,average,average,0,13940695,0,,average,3,ACCY202,Not who you want for an 830am lecture; zzzzzzzzzzzzzzzzz.,01/03/2008,2,2.0,,2,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,13753345,0,,good,4,ACCY202,All the material you learn is in the course packet.  No need to goto lecture or section.  Only goto section when there are quizzes.  Should be easy if you study for a few hours before each test.,12/05/2007,1,1.0,,3,Meh,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13613532,0,,poor,3,ACCY202,"most useless lecture of all time, but still worksheets are a little helpful. Easily could be a 1 hour lecture if he wouldn't goof off the entire time. Not as bad as FIN lectures, by far though; got to hand it to the ACCY dept. Best ACCY professor I had, over Curtis.",11/07/2007,4,4.0,,1,Meh,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,13450209,0,,poor,2,ACCY202,He barely teaches anything in Accy 202,08/31/2007,3,3.0,,2,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13413513,0,,good,5,ACCY202,"Very nice person and extremely approachable.....class is easy, you cannot get lower than a B in this class. Exams questions are told before the exams. COMPASS HWS EASY......Better than curtis....plus he makes sure to tell jokes in the beginning of class everyday. Gets old though, but still funny.",08/16/2007,1,1.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,13144205,0,,average,3,ACCY202,"Do the practice problems he gives a bunch, if you want a B you can just study the lecture notes but if you want an A you have to read the book(especially for the final).",05/10/2007,3,3.0,,3,Sorta interested,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,13120054,0,,average,4,ACCY202,lecture is a waste of time. discussion is only important if there's a quiz or presentation. just read the binder and you'll do fine.,05/07/2007,1,1.0,,1,Meh,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,12961928,0,,good,3,ACCY202,"VERY BORING! He tries to make things interesting, but his jokes and surveys get old after awhile. Attendance is not mandatory, but it helps. Reading the book is not required either, as he gives you most of the stuff you need to know in the notes. There are &quot;cases&quot; and presentations which suck and also online quizzes for each chapter. decent prof",04/02/2007,1,1.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12947506,0,,good,4,ACCY312,He's much better in smaller classes than in the ACCY 202 lecture.,03/28/2007,2,2.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,12814376,0,,poor,1,ACCY202,"Don't go to class after the midterm, it's a waste of time.    Very nice man if you go to his office hours, but terrible terrible professor.",01/24/2007,3,3.0,,1,Sorta interested,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12806632,0,,average,2,ACCY202,"I also had an A going into the final, and ended up with a B.  Boring lecturer, and he pulled that final out of his ass.",01/22/2007,3,3.0,,3,Meh,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,12749169,0,,poor,1,ACCY202,This guy is a horrible speaker.  Had a 97 before the final and ended up with a B.  Fire him.,01/09/2007,5,5.0,,1,Meh,1,1.0,3,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,12352037,0,,poor,2,ACCY202,"Has anyone from the administration actually seen this man teach a class before&#63;  Obviously no, or else he would have been fired on the spot.  More work was reqired from me for one of my kindergarten classes than 202.  If you don't get an A in this class you should consider dropping out of school.",11/02/2006,1,1.0,,2,Low,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,12348578,0,,average,2,ACCY202,Midterm II was hard. Watch out!,11/02/2006,4,4.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12343437,0,,good,3,ACCY202,"The class has improved since Spring! The tests are no longer as difficult, if you study it will reflect your grade. He gives so much help in class for discussion quizzes and cases. Really nice guy and eager to help. The class is definitely manageable; especially while taking other business cores. You'll learn if you study; the textbook is great.",11/01/2006,2,2.0,,4,Low,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,11937380,0,,poor,2,ACCY202,"He was aweful! Could tell he had no real world experience and also had no social skills to teach! Enjoyed ACCY 201, not this class though",05/24/2006,4,4.0,,2,Meh,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,11922769,0,,poor,2,ACCY202,"He is boring and often unclear.  His homeworks and practice tests do not represent what is tested, but the DSA's do.",05/21/2006,3,3.0,,2,Sorta interested,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,average,0,11864642,0,,poor,1,ACCY202,Horrible professor.  Doesn't teach you a thing.  Exams are only from the book since you don't learn anything in lecture.  You have to teach yourself and all you can do is read the book.  It's too bad this is a business core requirement. He also made the class a lot tougher (the exams are HARD) because people had told him in the past how easy it was,05/10/2006,4,4.0,,3,It's my life,2,2.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,11858527,0,,poor,1,ACCY202,"This is the worst class ever! I hate Finnegan! Worst Professor ever, no doubt a smart man, but horrible teacher. I used to like accounting, until I had to start teaching it to myself! He's ruining my GPA.",05/10/2006,5,5.0,,1,It's my life,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
