attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,poor,good,poor,3,22501341,0,,poor,1,CHEM102,"I don't know how he has a good rating. He make Chem much harder than it has to be in order to curve it however he wants. When the average on the exams is barely over 50% you're doing something wrong. Everyone that I have this with is miserable because of him, and when compared to other Chem 102 classes, the exams seem impossible. Don't take him.",12/11/2013,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
Not Mandatory,good,average,average,0,22065490,1,,good,4,CHEM102,Get the practice exam book. The actual exams are very similar.,08/19/2013,3,3.0,,3,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,A-,,person,people
N/A,good,good,good,0,21905312,1,,good,4,CHEM102,"His nickname may be Tricky Tom, but I definitely think he was the best CHEM 102 professor to have. The tests are very difficult, but are subsequently curved. If you have not taken AP Chem, you need to put in effort to do well. It's not impossible, but don't go thinking you can coast through the class. Great Professor. Funny guy too!",06/19/2013,5,5.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,21731701,2,,good,5,CHEM102,"AWESOME. He's hard, but it's so worth it. Best teacher I've had",05/10/2013,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21391301,1,,good,4,CHEM102,"He's a good professor, but his tests can be difficult (even for a student that did well in AP Chem). There are a lot of subtle things he does to make the exams tricky (earning him the nick name, ""Tricky Tom"").  However, paying attention in class, doing the homework, and studying by looking over lecture notes and taking past exams is very helpful.",03/06/2013,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,21344767,1,,good,4,102E,The tests are very rushed but practicing with the past exams is the best thing you can do.  Tom is a little fast in lecture but he is a really nice guy who wants you to do well.  Make an effort to see him during his office hours.,02/15/2013,3,3.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,good,good,0,21320814,1,,good,4,CHEM102,"Hummel is a really great professor. People always complain about how difficult his class is, but if you put in the effort, you will do well. Do ALL of the homework problems, not just the evens. Go to his office hours! He genuinely wants to help students and doesn't ""dumb down"" the material. Class is hard, but I learned so much in just one semester.",02/04/2013,5,5.0,,5,Meh,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,good,average,good,0,21276217,1,,good,4,CHEM102,"He's very smart and knows his field very well. They call him Tricky Tom for a reason though, and you have to be proficient at the material as exams are pretty difficult. Usually, if you can figure out what each question is testing, you should be good. My advice -PRACTICE! Do ALL practice problems and past exams! Many questions are similar.",01/18/2013,3,3.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,average,good,average,2,21248534,0,,average,3,CHEM102,"This was easily the hardest class I had all semester, but it was my mistake that I didn't treat it as such! If you are looking for an easy time with Tricky Tom then you are mistaken! Take your homework seriously and STUDYSTUDYSTUDY, then you have a good chance with his tests. And know your stuff well. He really is tricky!",01/11/2013,5,5.0,,3,Really into it,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,21237461,1,,good,5,CHEM102,Very good professor. It is very clear that he knows his stuff and is always helpful to students. Encourages students to ask questions in lecture and overall wants to see his students learn and do very well. I definitely recommend u to take him as your professor,01/09/2013,2,2.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,person,people
