attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,12791569,0,,good,5,PSYCH100,I had fun in this class. Good professor :),01/18/2007,3,3.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12706295,0,,good,5,PSYCH100,"Great and rewarding class! Although I was able to ace all the exams, it was not without work. Make sure you read all the text and go to all of the studies! it is very important to read the text and go to lecture and take notes. However, if you can read all the text in a couple of days, that is all the studying you should need to do before the exam.",01/01/2007,3,3.0,,5,It's my life,5,5.0,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12622631,0,,good,5,PSYCH353,Take this class!!!,12/16/2006,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12413167,1,,good,5,PSYCH353,"Love the class!  The prof is hilarious and the material is interesting...only the last two sections though.  The first third is kind of dry, as is any introductory material.  All you have to do is go to class, take notes, and read the book...you'll be guaranteed an A!",11/14/2006,2,2.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,person,people
N/A,average,average,average,0,12196946,0,,poor,3,PSYCH103,"Had him in an intro to psych class maybe 10 years ago.  Full of himself and completely unsympathetic.  As a teacher for the last 7 years, I'd say the only thing I learned from him was how not to treat students.",08/28/2006,3,3.0,,1,Really into it,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,12038306,0,,good,5,PSYC100X,Read the book. Go to class. He's funny.,06/27/2006,1,1.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,11989550,0,,good,5,PSYCH100,"all you have to do in order to get an A is take notes from the lecture and read. he makes his test half from lecture, half from the book. this is the first class ive actually read the book and i needed to. its not hard and as long as you were at lecture. good teacher. lectures can be a little dry though",06/09/2006,2,2.0,,4,Low,4.5,4.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,11883833,0,,good,3,PSYC100,"Lectures were boring in the beginning, but got progressively more interesting.  Class is fairly easy.  Lots of reading though.  Make sure you do the practice problems at the end of each module because he takes many of his test questions straight from those.  Threw lots of random questions though which hurt my grade.",05/14/2006,2,2.0,,4,It's my life,3.5,3.5,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,11859485,0,,good,5,PSYCH100,Easy if your read the book and take good notes. 4 exams and one subject pool. The curve ended up being 200/240 for an A,05/10/2006,1,1.0,,5,Low,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,11750440,0,,average,3,PSYCH100,"Read the book and take as much notes as possible in lecture. He tends to go off on stupid tangents, but also very likely to throw a curveball question on the test. Hes kind of a wierd guy but funny at times.",04/23/2006,4,4.0,,3,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
