attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,25779020,0,online,good,4,STAT100,"I was originally not looking forward to this class. However, this class was the opposite of what I expected. There are 3 exams and a final. They are all not so bad because there are practice exams given. There is homework everyweek. All in all, I would take this course again if I had to.",12/20/2015,2,2.0,,4,Really into it,4,4.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Mandatory,good,average,good,0,25629899,0,,good,5,STAT100,I skipped 65% of the lectures and still got an A. Everything you need is on Lon-Capa.,12/10/2015,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,Yes,,A,,people,people
Not Mandatory,good,poor,good,0,25551021,0,,good,4,STAT100,Professor Ravat  genuinely takes the time to get to know her students in the lecture hall and will assist anyone when they have a question. Lectures always felt very comfortable and engaging. STAT100 as a course itself is very easy (in my opinion) so you will not be learning anything too hard but Ravat definitely made it clear and accessible.,12/04/2015,1,1.0,,5,Sorta interested,4.5,4.5,1,No,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,good,0,25360195,0,,good,5,STAT100,"One of the first classes at UIUC; Made me think: ""Hey! College is Easy!""... Then I took Econ....",11/06/2015,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,Yes,,A+,,people,people
Not Mandatory,good,poor,good,0,24876610,0,,good,5,STAT100,"She's a sweet teacher! Good teacher, easy class, don't worry. Go to office hours if stuck on a concept, she'll help. The ""textbook"" is our incomplete notes book which we also get extra credit from (on top of all the bonus prelectures, surveys, and clicker points) at the end of the year given we have completely filled it out and it's definitely used",05/20/2015,1,1.0,,5,Really into it,5,5.0,1,Yes,Yes,1112,Yes,,A+,,people,people
N/A,good,poor,good,1,24557696,0,,good,4,STAT100,"Uma is incredibly nice and super adorable. She makes jokes and keeps class light.  However, I chose to take this class only twice a week instead of three times, so the lectures were an hour and a half instead of an hour. She moves very, very slowly, so class is incredibly boring. Honestly, you don't even really need to go to class. Super easy.",04/07/2015,1,1.0,,5,Low,4.5,4.5,1,Yes,N/A,1112,Yes,,A+,,people,person
N/A,average,average,average,0,24554295,0,,average,3,STATS100,"Ravat is a very nice professor. She kind of comes in, does her thing, and peaces out. Usually in a good mood. Sometimes it can be hard to understand her due to her thick accent, but the class is not an overtly challenging one, so that offsets. Just come to lecture to get the i-clicker points, and don't completely wing the midterms.",04/07/2015,2,2.0,,3,Low,3,3.0,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,poor,good,0,24330460,1,,good,5,STAT100,"Stat 100 is a super easy class, to the point where it can be pretty boring due to the lack of challenging material. Professor Ravat was a good professor, her accent might be tough for some to understand but for this class it really shouldn't be a problem. ",01/25/2015,1,1.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,Yes,,A+,,person,people
N/A,good,average,good,0,24254628,0,,good,5,STAT100,She is very nice but it is hard to understand her because she has a very strong Indian accent. TONS of extra credit. You can do pre-lectures and surveys online to get extra credit and there are iClicker questions in almost every class. Textbook is a workbook and if you fill it out during class you get extra credit points at the end.,01/08/2015,2,2.0,,4,Sorta interested,4.5,4.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
N/A,average,poor,average,0,24209885,0,,good,3,STAT100,STAT 100 is by and far an easy gened. SO MANY extra credit opportunities and the tests are basically given to you in the notebook which you can get bonus points for if you fill it in and turn it in at the end of the semester. Ravat can be confusing sometimes so if you don't have a basic understanding of math consider taking a different section.,12/31/2014,1,1.0,,4,Low,3.5,3.5,1,Yes,N/A,1112,Yes,,A,,people,people
N/A,good,poor,good,1,23988904,0,,good,4,35041,Uma is a nice teacher who thinks her students are perfect. She is a very nice professor that knows who classes are easy and embraces it.,12/08/2014,1,1.0,,4,Sorta interested,4,4.0,1,Yes,N/A,1112,Yes,,N/A,,people,person
