attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,16952274,0,,good,5,CS105,"Undoubtedly one of the best professors at the university. Absolutely excellent at explaining concepts. Extremely helpful, nice, and he really does care about students. He also seems incredibly normal for a computer scientist, and he has a good sense of humor. You really couldn't ask for more from a professor.",04/05/2010,2,2.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16948656,0,,good,5,CS232,he is awesome..,04/05/2010,2,2.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,average,0,16752408,0,,good,4,CS105,He is a great professor.  He tried his best to make the lectures no so boring.  But I still fall asleep sometimes.,01/24/2010,1,1.0,,3,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16554340,0,,good,5,CS232,"Without a doubt the best professor I have ever had. Knows everything and is willing to help. If I could take another course with him I would do it instantly. Loves to teach, and somehow made assembly code sound interesting&#63;! Viraj rules!",12/14/2009,3,3.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,1,16530447,0,,good,5,CS232,"Professor Kumar was one of the greatest professors I have ever had. He knows the material like it's the back of his hand and he is always willing to help his students out. If he is available, absolutely take a course with him.",12/11/2009,4,4.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,person
N/A,good,average,good,0,16498390,0,,good,4,CS105,"Kumar is a very good professor for, in my opinion, a very dry subject. He was always very prepared and effective in presenting material during lecture and was also very helpful to students outside of class, especially when it came to the MPs. With Kumar, this class was not bad at all!",12/08/2009,3,3.0,,5,Meh,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,16489877,0,,good,5,CS232,Best professor I've had at UIUC hands down. Cares a lot about his students and teaching. Would take another class with him if I could.,12/07/2009,4,4.0,,5,Low,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16396627,0,,good,5,CS105,"Nice guy, explains concepts well. However he puts me to sleep every day.",11/19/2009,3,3.0,,5,Low,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16320136,0,,good,5,CS232,Great. One of the best professor that I have had so far at UIUC. His office hours are extremely helpful. Also fun teacher even the material that he is covering is pretty heavy.. Knows all names of student.,11/05/2009,3,3.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,16296567,0,,good,5,CS232,"Agree, best professor I've had so far. Unlike most professors, he actually cares and takes interest in his students, knows almost everybody's name, and explains things very clearly. Very easy to talk to.",11/01/2009,3,3.0,,5,It's my life,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,12974802,0,,good,5,CS232,"Viraj is awesome. He will help with any class, even if he isn't teaching it this semester. Very helpful, makes class fun, knows your name, and fair.",04/05/2007,4,4.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12249261,0,,good,5,CS232,"Viraj is absolutely the best lecturer I've had at UIUC. He is animated during lectures, explains concepts very well, goes at a good pace, and is very helpful both in and out of lecture.",09/25/2006,3,3.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
