attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,15799182,0,,good,5,ECON452,"I thought this class was quite interesting. It's definitely heavy on the history and pretty light on econ. This is Professor Baer's area of expertise, so this is a great course to take with him. Grade is composed of a midterm, paper and final. Go to class if you want a good grade. Baer's a nice guy and very helpful.",05/08/2009,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,15465362,0,,average,4,ECON103,"Never used my textbook, just look at notes from class and took tests. Discussion sucks because each quizzes are worth 10% of ur grade. Take Baer when available, don't take Godtheil. Class is pretty easy. If you have common sense, you can do macro.",02/15/2009,2,2.0,,1,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,15427120,0,,good,4,ECON103,"Really boring, but he only has two tests in which he tells you exactly what is going to be on them. Just study the graphs and know the concepts and this class is a breeze",01/29/2009,2,2.0,,3,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15374742,0,,average,3,ECON103,"I could drink 3 cups of coffee before his lectures and still fall asleep in the first 5 minutes.  The book is helpful, but not necessary.  Don't miss TA sessions",01/14/2009,2,2.0,,3,Low,3,3.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,15370985,0,,good,4,ECON103,lectures were extremely boring. do not sit in the balcony of foellinger. you will fall asleep. try to pay attention and you should do good. there is no homework and your grade really relies on what TA you get. also i only used my book once while writing a paper for the class. you do NOT need the book for this course.,01/14/2009,2,2.0,,3,Meh,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15232338,0,,good,3,ECON103,"Not the most interesting speaker, but he does cover everything pretty well.  The difficulty of the course rests entirely on what TA you get.  Mine was kind of hard.  She wanted the exact wording from her explanations on the midterm and final.",12/18/2008,2,2.0,,4,Really into it,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,15181912,0,,average,3,ECON103,Stutters a lot.  Try to get a good TA.,12/13/2008,3,3.0,,2,Low,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15027768,0,,good,4,ECON103,Easy Class. Theres no hw and you get like an easy 6 question quiz every month. Make sure to write down all the notes because they will definitely help for the midterm. Only time to worry is for the midterm and final but if you understand it then ur fine. Most people got Bs and As for midterm.,11/19/2008,1,1.0,,4,It's my life,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,14771367,2,,good,5,ECON420,baer's the man!,08/25/2008,2,2.0,,5,Sorta interested,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,average,0,14708944,0,,good,5,ECON103,He goes over stuff in the lecture that is not in the book so go to class and take good notes. Exam averages were low.. like 70%. He doesn't seem very friendly. I tried to go in to him for help once and he told me to go see his TA.,08/02/2008,2,2.0,,2,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
