attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,average,average,average,0,25030645,0,,good,3,PS100,"Easy class. Just essays every other week and a final. Not too bad. His lectures weren't THAT boring; if you pay attention, you'll learn. If you have NO interest then yea, it'll be boring. But he's sooo nice and open to help on anything, definitely easy to talk to and super helpful. Favorite professor yet (:(:(;",07/10/2015,3,3.0,,4,Sorta interested,3.5,3.5,1,Yes,Yes,1112,Yes,,B,,people,people
N/A,average,average,average,0,24250773,0,,average,2,PS100,"I'm not interested in PS, but it was a fine 100 level class. ore work than I expected. Grading is totally on TAs. My TA saved me. participate in class and go to TA office hours when you are confused. ",01/07/2015,3,3.0,,3,Low,2.5,2.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,good,average,good,0,24134161,0,,good,4,PS100,"Really great professor. He is there to help if you approach him. Very easy to talk to. Tough lectures, but it is Political Science which can be very dry at some times. All around a great teach, I highly recommend. ",12/18/2014,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,Yes,1112,Yes,,A,,people,people
Not Mandatory,good,poor,average,0,24131625,0,,good,4,PS100,"He's an okay lecturer- sometimes injects humour into his lectures. We had 5 papers (3 pages each) due every other week- were very easy. Overall, as long as you show up to class and take notes, do most of the reading, you should be fine.",12/18/2014,1,1.0,,3,Really into it,3.5,3.5,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,average,average,average,0,24030790,0,,good,3,PS100,"He is a wonderful guy but boring lecturer. He will always help you out if you ask and will answer whatever questions you may have. Be prepared to read a lot, and submit papers every other week or so.",12/11/2014,3,3.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,Yes,,N/A,,people,people
Not Mandatory,average,average,average,0,23759063,0,,average,3,PS100,"Bernhard is definitely a knowledgeable man, but very dry. He needs to work on his lecturing skils.",11/06/2014,3,3.0,,3,Low,3,3.0,1,No,N/A,1112,Yes,,N/A,,people,people
N/A,average,average,average,0,20365174,0,,good,3,PS100,"All you really have to do is pay attention in class and take notes. The readings were a bit useless, though they could help for the papers (3 pgs) which were very comprehensive I felt for that length. My TA was a bit of a picky grader. Bernhard is interesting and funny and you can tell he likes teaching. Talk to him, he's really nice and helpful.",05/30/2012,2,2.0,,4,Low,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19832157,0,,good,5,PSCI101,What would Jesus do?  He would hang with Prof. Bernhard! ,02/16/2012,5,5.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,19832152,0,,good,5,PSCI101,"Professor Bernhard is to Political Science what Snoop Dog is to popular music, what Bobby Flay is to modern cuisine, and what Bill O'Reilly is to political commentary.  ",02/16/2012,5,5.0,,5,It's my life,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,18354244,0,,good,5,PS101,"He's awesome, definitely know a lot and can be a valuable resource if you go to office hours!",04/04/2011,2,2.0,,4,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17963372,0,,good,4,PS100,"Berhnard is a great professor, and VERY HELPFUL He gives many examples tohelp explain points in lecture. PS 100 from what I've heard is a weed out class, or to get rid of people who do not want to do the work. The amount of reading is about 80-100 pages a week. Here and there a little more. Papers were rather straightfoward and doable. 2-2 pagers.",12/16/2010,2,2.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,17938607,0,,good,3,POL100,"Alright, this is not a difficult class. However, you need to read, or go to class. Take your pick. For some reason he doesnt give out reviews which i think is retarded. Lecture makes me want to scream because he goes on and on about things no one cares about. that's all.",12/14/2010,3,3.0,,5,Really into it,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,14361220,0,,average,3,INTRO001,Dude must be working out--pecks and abs show through the belly-shirt he sports to class.  Never thought I would see a department chair come to class wearing jams and flip-flops.,04/28/2008,4,4.0,,2,Low,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,13646101,0,,good,5,PS100,"He gives examples for everything he talks about in class.  It makes everything pretty east to understand. I had a great TA, so papers (2-2 pagers) went well.  Overall, I enjoyed going to class for the most part.",11/13/2007,2,2.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,11278264,0,,average,3,PS240,"I love Bernie! He's so sweet and nice. I think I literally read 50 pages the whole semester, slept in class probably every day, and went to discussion twice and managed a B-. So I actually tried to get a bad grade. Just read the books, or at least skim them, cheat on the online quizzes (sorry bernie), do the extra credit, and u'll get an A.",12/30/2005,2,2.0,,3,Sorta interested,3,3.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,10909950,0,,good,5,PS240,Stone-cold pedogical excellence.,11/15/2005,3,3.0,,5,Really into it,5,5.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,10664867,0,,poor,1,PS241,"HORRIBLE, uh, LECTURER.  Uh, boring, uh, boring.  Not helpful at all outside of class.  Assigned hundreds of pages of reading that were both unnecessary and (surprise) boring.  Doesn't care if you come to class (said it the first day), doesn't care about you.  Turned me off to the whole field of comparitive politics.  I learned absolutely nothing.",10/30/2005,4,4.0,,1,Really into it,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,10064201,0,,good,5,PS240,"came across as a garden variety tool. he didn't seem interested in critical thinking and managed to nearly completely depoliticize political science. talked about bourdeax and chablis than politics. also, NOT HOT. you must have cataracts to think otherwise.",07/27/2005,1,1.0,,3,Meh,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,poor,average,poor,0,3708083,0,,poor,1,PS241,"Horrible, rambling lecturer.  Not helpful at all if you tried to talk to him outside of class.  Seemed quite conceited also.",04/25/2005,3,3.0,,1,Low,1,1.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,3456884,0,,good,4,PS240,OMG SOOO HOTTTTT!!! WE HEART BERNIE!,03/14/2005,2,2.0,,4,Really into it,4,4.0,1,N/A,N/A,1112,N/A,,N/A,,people,people
