attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Not Mandatory,good,good,good,1,23152756,0,,good,4,STAT429,"I tried really hard for this class. And got an A+. I learned a lot. Those who cannot follow may just mean it's not a level for you, but not quite all the problem with professor.",05/02/2014,5,5.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,A+,,people,person
Not Mandatory,poor,good,poor,0,22369541,0,,poor,1,STAT429,"Her class is very difficult to follow, and the notes are also very messy, with quite a few mistakes. What she tested is always beyond the HW and practice exam. This class makes me feel so stressful. I never did so bad in a stat class, and I really think this has something to do with the way she teaches.",11/21/2013,5,5.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,22358447,0,,poor,1,STAT429,Very hard to understand with a thick accent. Lectures are just a cluster. Practice exams and homework not representative of what she tests over. Very few big picture and practical takeaways from the course. I recommend a more econometric based course in time series for anyone interested in the field.,11/20/2013,5,5.0,,2,Really into it,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
Mandatory,poor,good,poor,0,22322576,0,,poor,1,STAT429,"Absolutely terrible.  I didn't listen to the comments about this professor and I wish I had.   I seriously question her qualifications to teach for several reasons: sloppy handwriting, incomplete lecture slides, using different notation from a variety of textbooks and exams that are awfully discouraging.     I have nothing positive to say about her",11/15/2013,5,5.0,,2,It's my life,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,22259503,0,,good,3,STAT429,Extremely hard course. Great emphasis on mathematical proof and theory.,11/05/2013,5,5.0,,4,Sorta interested,3.5,3.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,22178940,0,,poor,1,STAT429,I just did't know what she is talking about. All the notes are messed up. She wrote all the things on board and seldom use software. I learned all the proof but nothing practical.,10/14/2013,5,5.0,,1,It's my life,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,22092024,0,,poor,1,STAT400,Her exams were very hard.Although she promised otherwise. I remember an erratic curve at the end of the class.,08/28/2013,5,5.0,,1,Meh,1,1.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,21504682,0,,poor,1,STAT410,"Just cannot understand why does STAT Department hire such an Unprofessional Visiting lecturer to teach so many STAT 400 level courses. Her course material are completely incomprehensible! Amount of Assignments she gives are crazy, redundant and tedious. I'm strongly suspect whether she really has qualified STAT fundamental skill in teaching!",04/09/2013,4,4.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,20769887,0,,average,2,STAT429,"Though she is very nice and patient to help, she talks quickly and not quite clear. the materials are difficult to understand. a lot of homework, 2 midterms,1 final project and 1 final exam. Definitely not recommended unless you like challenge",11/02/2012,5,5.0,,3,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20760187,0,,good,4,STATS400,"Even though a lot of people says this or that, she is very nice on the giving grade and giving chance to let students improve their grade. I am just saw a student who didnt take first exam by some acceptable reason so she moved his exam grade into 3rd exam. She is very nice in office hour as well.",10/31/2012,2,2.0,,5,Sorta interested,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,20758854,0,,poor,1,STAT400,Her accent makes it very difficult to understand the material. It would be better to just read the slides on your own. I wouldn't recommend her at all.,10/31/2012,4,4.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,20731374,0,,poor,1,STAT400,This class is stupidly time-consuming and is almost not worth taking.  The professor is next to useless and assigns more homework than all of my other classes combined.,10/24/2012,5,5.0,,1,Sorta interested,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,20726637,0,,good,3,STAT400,It's not bad. Course slides are provided and they are helpful.,10/23/2012,2,2.0,,4,Sorta interested,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,poor,0,20634081,0,,poor,2,STAT429,"Lack of communication and unrealistic expectations, almost everything she writes or says seems confusing. Avoid at all costs, because there is certainly a price to pay having her as your professor.",09/09/2012,5,5.0,,1,Sorta interested,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
