attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,poor,good,0,20646892,0,,good,4,ENGLCHP,"I took Professor Sullivan's ENGL 274 class.  I entered her class with very little interest in the subject matter, but I found that her passion for the material made the class very interesting.  At times I felt that she was overly critical of ideas with which she did not agree, but overall I believe that the class was taught very well.",09/17/2012,1,1.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,20646827,0,,good,4,ENGL274,"Professor Sullivan is an extremely charismatic speaker and is one of those rare teachers who not only helped me ""read the world,"" but also greatly increased my analytical reading skills with her engaging material on globalization and the relevance it still has today. Definitely an interested class to take.",09/16/2012,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,good,good,0,20646769,0,,good,5,ENGL274,"If there's one word to describe professor Sullivan, it would be passionate. Part of what makes this course so interesting is the excellent assortment of literature she has compiled, along with her deep knowledge in the subject. I went into the class not even knowing what ""diaspora"" meant, and left feeling incredibly educated.",09/16/2012,4,4.0,,5,Really into it,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,17669126,0,,good,5,ENG112,I took professor Sullivan's poetry class in the early 1970's.  I knew little about poetry before taking her class. She made inscrutable poetry meaningful and interesting. I still love her interpretation of Yeats' &quot;Sailing to Byzantium&quot; and TS Eliot's &quot;Lovesong of J. Alfred Prufrock&quot;. I am glad to discover that she is still teaching.Thanks Zohreh!,10/18/2010,3,3.0,,4,Low,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,16628853,0,,average,2,ENG112,She is very nice and means well. The class is extremely boring and dull. Quizzes are easy but unexpected so be sure to always do the readings. As long as you do the work in this class you will be fine!,12/23/2009,2,2.0,,4,Meh,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,15406362,0,,good,5,ENGL112,"A great professor who is always willing to help students. She always put off the deadlines=) She makes ENGL112 more interesting and enjoyable. If you do all the readings and writings, you will get an A. (PS. In fact there is not much work to do. She even cancels assignments to help students.)",01/23/2009,1,1.0,,5,Meh,5,5.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,15232234,0,,good,5,ENG112,"Great teacher.  Very interesting.  The assignments are pretty easy if you listen in class, so attendance is really important.  Overall, a great class.  Take her classes if they're offered.  She's semi-retired though, so I don't know how long they'll be offered.",12/18/2008,3,3.0,,5,Really into it,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,14959612,0,,poor,3,ENGL211,"Although I received a good grade in the only class I took with her, she told me that I would be better off applying for a masters degree elsewhere since my work would not be &quot;up to par&quot; with what get me into that particular university.  I assumed she would be the first to encourage any of her students to apply anywhere.",11/08/2008,3,3.0,,1,It's my life,2,2.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,14238928,0,,good,4,ENGL112,"She has a very interesting background and her accent is adorable! Overall, I think the class did not allow for in-depth discussion of the texts, since it was mainly a lecture, but the political and historical knowledge of world events that came from this class is invaluable.",04/03/2008,1,1.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12952738,0,,good,4,ENGL112,Great Teacher!,03/30/2007,3,3.0,,5,Really into it,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
