CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
30560,AAS,100,Intro Asian American Studies,A,LCD,120075,"Chung, Jennifer Y",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33565,AAS,120,Intro to Asian Am Pop Culture,A,LCD,120075,"Ono, Kent A",1,2,6,2,6,2,3,0,0,0,0,0,0,0,3.23
30561,ACCY,201,Accounting and Accountancy I,A,LCD,120075,"Feller, Anita L",2,18,4,1,4,1,0,0,0,0,0,0,0,0,3.76
30562,ACCY,202,Accounting and Accountancy II,A,LCD,120075,"Finnegan, Thomas",1,7,2,7,3,0,0,0,1,0,0,0,0,0,3.49
30563,ACCY,290,Prof Internship in Accountancy,A,CNF,120075,"Curtis, Susan M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30565,ACCY,301,Atg Measurement & Disclosure,AE1,LCD,120075,"Muriset, Seth D",3,7,3,1,1,2,1,1,3,0,1,0,0,0,3.17
30026,ACCY,301,Atg Measurement & Disclosure,AE2,LCD,120075,"Chen, Po-Chang",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30034,ACCY,302,Decision Making for Atg,AE1,LCD,120075,"Wang, I-Ling",2,8,6,2,3,3,1,0,0,0,0,0,0,0,3.52
30037,ACCY,302,Decision Making for Atg,AE2,LCD,120075,"Keshk, Walied E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30041,ACCY,303,Atg Institutions and Reg,AE1,LCD,120075,"Mathrumandiram, Padmakuma",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30048,ACCY,303,Atg Institutions and Reg,AE2,LCD,120075,"Ma, Tao",2,5,6,4,2,3,0,2,1,0,0,0,0,0,3.32
30061,ACCY,304,Accounting Control Systems,AE1,LCD,120075,"Zhou, Hui",7,12,1,1,0,1,1,0,0,0,0,0,0,0,3.83
30066,ACCY,304,Accounting Control Systems,AE2,LCD,120075,"Wu, Yu-Ching",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30080,ACCY,312,Principles of Taxation,A,LCD,120075,"Larakers, Daniel H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30069,ACCY,405,Assurance and Attestation,AE1,LCD,120075,"Kang, Yoon Ju",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30074,ACCY,405,Assurance and Attestation,AE2,LCD,120075,"Birkey, Rachel N",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30083,ACCY,501,Accounting Analysis I,A,LCD,120075,"Ibrahim, Adel Nematallah",0,15,7,9,1,0,0,0,0,0,0,0,0,0,3.71
30086,ACCY,501,Accounting Analysis I,B,LCD,120075,"Ibrahim, Adel Nematallah",0,16,9,6,1,1,0,0,0,0,0,0,0,0,3.72
32912,ACCY,501,Accounting Analysis I,EM,LCD,120075,"Narayanamoorthy, Ganapath",3,8,2,6,9,4,0,0,0,0,0,0,0,0,3.41
32857,ACCY,510,Financial Reporting Standards,A,LCD,120075,"Harris, Ling L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33507,ACCY,510,Financial Reporting Standards,B,LCD,120075,"Nekrasz, Frank",22,5,1,0,1,0,0,0,0,0,0,0,0,0,3.95
33607,ACCY,512,Risk Measurement/Reporting II,CT,LCD,120075,"Cohen, Susan I",0,13,0,27,10,0,0,0,0,0,0,0,0,0,3.44
